States/UTs,2006,2007,2008,2009,2010,2011,2012,2013,2014
Andhra Pradesh,26091,25466,27337,26135,26603,25084,27946,26127,16625
Arunachal Pradesh,73,130,68,168,128,123,104,66,56
Assam,2119,1824,1907,1931,2087,2618,2361,3099,2958
Bihar,3546,5097,5330,6097,7125,5927,5196,5730,4976
Chhattisgarh,6051,6804,7096,7272,7323,7706,7328,7833,7772
Goa,2200,2438,2243,2324,2238,2654,2560,2374,2325
Gujarat,19654,20868,19171,19189,18827,19408,17567,15957,15115
Haryana,7132,7784,7553,7716,7297,7221,6844,6997,7048
Himachal Pradesh,1734,1995,1679,1935,1871,1946,1887,1888,1920
Jammu & Kashmir,3708,3673,2452,3200,4152,3917,4169,3856,3440
Jharkhand,2759,3376,2941,2969,3154,3073,3215,3023,2654
Karnataka,21728,24127,24566,24757,24409,26572,26651,25479,27096
Kerala,27494,24288,22702,21582,21370,21451,22027,21440,22111
Madhya Pradesh,18526,18948,20925,23676,24427,23469,24484,25557,25998
Maharashtra,27570,26332,28632,25476,29880,28762,28089,26950,25154
Manipur,195,160,164,424,364,447,269,425,577
Meghalaya,165,178,177,258,253,294,129,179,231
Mizoram,44,31,43,35,48,58,63,68,62
Nagaland,57,80,22,21,0,0,10,21,57
Odisha,4087,4619,4361,4907,5016,4848,4907,5180,5243
Punjab,3294,3027,3173,3511,3260,4258,4166,3919,3750
Rajasthan,12510,15157,15122,16249,15422,14322,14562,14939,15664
Sikkim,137,103,128,404,114,279,105,164,57
Tamil Nadu,32844,34821,36107,31718,38041,37486,39533,38905,42381
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,9750
Tripura,501,514,549,692,696,542,511,420,391
Uttarakhand,772,818,713,578,703,779,676,648,675
Uttar Pradesh,11132,11340,14073,15490,13909,15484,14257,14651,12429
West Bengal,5755,6352,6393,5971,6194,6395,6265,6720,5983
Andaman & Nicobar Islands,74,63,71,96,136,181,162,139,87
Chandigarh,37,48,66,32,58,70,52,83,33
Dadra & Nagar Haveli,79,76,86,60,74,88,71,43,68
Daman & Diu,40,25,37,40,38,37,35,43,23
Delhi,788,0,0,0,0,0,0,0,0
Lakshadweep,10,2,12,4,4,0,3,1,1
Puducherry,952,1017,796,780,650,732,246,669,275
All India,243858,251581,256695,255697,265871,266231,266450,263593,262985
